name,varietal
"2004 Mclean's Farm Shiraz/Cabernet","Shiraz|Cabernet Sauvignon"
"2003 Twotone Farm Cabernet Sauvignon","Cabernet Sauvignon"
"2004 TwoTone Farm Chardonnay","Chardonnay"
"2002 Twotone Farm Cabernet Sauvignon","Cabernet Sauvignon"
"2004 Penfolds Bin 60A Cabernet Shiraz","Shiraz|Cabernet Sauvignon"
"2004 Branson Coach Coach House Block Cabernet Sauvignon","Cabernet Sauvignon"
"2004 Penfolds Wines Cabernet Sauvignon Bin 707 Barossa Valley","Cabernet Sauvignon"
"2004 Robert Mondavi Reserve Cabernet Sauvignon","Cabernet Sauvignon"
"2004 d'Arenberg Coppermine Road Cabernet Sauvignon","Cabernet Sauvignon"
"2004 Chateau Montelena 2003 Estate Cabernet Sauvignon","Cabernet Sauvignon"
"2006 Domaine/Maison Louis Jadot Puligny Montrachet Les Combettes",""
"2006 Louis Jadot Puligny-Montrachet les Folatières",""
"2006 Louis Jadot Chambolle Musigny les Fuees",""
"2006 Louis Jadot Pommard Les Rugiens",""
"2006 Louis Jadot Vosne Romanee Les Suchots",""
"2006 Louis Jadot Volnay Clos des Chenes",""
"2006 Louis Jadot Pommard Grands Epenot",""
"2006 Louis Jadot Pommard Clos de la Commaraine",""
"2003 Kenwood Sonoma Zinfandel","Zinfandel"
"2004 Kenwood Vineyards Cabernet Sauvignon Sonoma County","Cabernet Sauvignon"
"2005 Kenwood Zinfandel Kenwood Vineyards","Zinfandel"
"Kenwood Jack London Vineyard Zinfandel","Zinfandel"
"2005 Kenwood Vineyards Pinot Noir Russian River Valley","Pinot Noir"
"2005 Kenwood Vineyards Cabernet Sauvignon Jack London Vineyard Sonoma Valley","Cabernet Sauvignon"
"2003 Kenwood Vineyards Merlot Sonoma County","Merlot"
"2004 Kenwood Jack London Vineyard Merlot","Merlot"
"1996 Kenwood Sonoma Zinfandel","Zinfandel"
"1989 Kenwood Sonoma Zinfandel","Zinfandel"
"2003 Kenwood Sauvignon Blanc","Sauvignon Blanc"
"1993 Kenwood Chardonnay Sonoma Valley","Chardonnay"
"2005 Kenwood Jack London Vineyard Zinfandel","Zinfandel"
"1999 Kenwood Pinot Noir Reserve Olivet","Pinot Noir"
"1999 Kenwood Olivet Lane Pinot Noir","Pinot Noir"
"1999 Kenwood Vineyards Cabernet Sauvignon Artist Series Sonoma County","Cabernet Sauvignon"
"2002 Kenwood Reserve Chardonnay","Chardonnay"
"1992 Kenwood Vineyards Cabernet Sauvignon Artist Series Sonoma County","Cabernet Sauvignon"
"2002 Kenwood Jack London Vineyard Zinfandel","Zinfandel"
"2003 Kenwood Vineyards Cabernet Sauvignon Jack London Vineyard Sonoma Valley","Cabernet Sauvignon"
"2001 Kenwood Sonoma Zinfandel ","Zinfandel"
"2000 Kenwood Vineyards Cabernet Sauvignon Jack London Vineyard Sonoma Valley","Cabernet Sauvignon"
"2001 Kenwood Russian River Pinot Noir","Pinot Noir"
"1999 Kenwood Mazonni Ranch Reserve Zinfindel","Zinfandel"
"2007 Laboure Roi Beaujolais Nouveau",""
"2000 Beringer Nouveau Gamay Beaujolais","Gamay"
"2007 Georges Duboeuf Beaujolais Nouveau",""
"2008 Georges Duboeuf Beaujolais Nouveau",""
"2008 Laboure Roi Beaujolais Nouveau",""
"2006 Louis Tête Morgon",""
"2006 Bouchard Aîné & Fils Beajolais Nouveau",""
"2005 Mommessin Beaujolais-Villages Nouveau",""
"2003 Duboeuf Beaujolais Nouveau",""
"2001 Joseph Drouhin Beaujolais Nouveau",""
"2002 Duboeuf Beaujolais Nouveau",""
"2001 Beringer Nouveau Gamay Beaujolais","Gamay"
"2005 Laboure Roi Beaujolais Nouveau",""
"2000 Duboeuf Beaujolais Nouveau",""
"2001 Dom. des Terres Dorees Beaujolais l Ancien - Nouveau",""
"1999 Duboeuf Beaujolais Nouveau",""
"2004 Duboeuf Beaujolais Nouveau",""
"2001 Duboeuf Beaujolais Nouveau",""
"2004 Beringer Nouveau Gamay Beaujolais","Gamay"
"2004 JC Cellars Syrah Fess Parker's Vineyard Santa Barbara County","shiraz"
"2005 Château Giscours",""
"2005 Chevalier de Lascombes",""
"2004 Patz and Hall Wine Company Chardonnay Dutton Ranch Russian River Valley","Chardonnay"
"2004 St. Michael-Eppan Chardonnay Alto Adige Südtirol","Chardonnay"
"2006 St. Michael Eppan Chardonnay Sanct Valentin","Chardonnay"
"2002 Chateau St. Jean Sonoma County Reserve Chardonnay","Chardonnay"
"2002 Peter Michael Chardonnay Belle Côte","Chardonnay"
"2004 Chateau St. Jean Sonoma County Reserve Chardonnay","Chardonnay"
"2001 Peter Michael Chardonnay La Carrière","Chardonnay"
"2000 Chateau St. Jean Sonoma County Reserve Chardonnay","Chardonnay"
"2005 Chateau Saint Jean Belle Terre Chardonnay","Chardonnay"
"2001 Peter Michael Chardonnay Belle Côte","Chardonnay"
"2002 St. Clement Vineyards Chardonnay Carneros Napa Valley","Chardonnay"
"1997 St. Francis Chardonnay Reserve","Chardonnay"
"2000 Chateau Saint Jean Belle Terre Chardonnay","Chardonnay"
"1996 Chateau Saint Jean Belle Terre Chardonnay","Chardonnay"
"1999 Chateau St. Jean Chardonnay Robert Young Vineyard Alexander Valley","Chardonnay"
"1999 Chateau St. Jean Durrell Vineyard Chardonnay","Chardonnay"
"1996 St. Francis Chardonnay Reserve","Chardonnay"
"1997 Chateau St. Jean Chardonnay Robert Young Vineyard Alexander Valley","Chardonnay"
"2002 Chateau Saint Jean Belle Terre Chardonnay","Chardonnay"
"2004 St. Francis Chardonnay","Chardonnay"
"2004 Santa Margherita Chardonnay Alto Adige","Chardonnay"
"2004 Z D Chardonnay","Chardonnay"
"NV Carmenet Cava Privat Opus Evolutium",""
"1994 Opus One Proprietary Red Wine Napa Valley",""
"1987 Opus One Proprietary Red Wine Napa Valley",""
"2001 Opus One Proprietary Red Wine Napa Valley",""
"1999 Opus One Proprietary Red Wine Napa Valley",""
"1990 Opus One Proprietary Red Wine Napa Valley",""
"1995 Opus One Proprietary Red Wine Napa Valley",""
"1985 Opus One Proprietary Red Wine Napa Valley",""
"1995 Robert Mondavi/Baron Philippe de Rothschild Opus One Napa Valley",""
"1987 Robert Mondavi/Baron Philippe de Rothschild Opus One Napa Valley",""
"2000 Opus One Magnum (1.5L)",""
"1999 Iron Horse T Bar T Benchmark",""
"1992 Iron Horse Vineyards Blanc de Blancs Sonoma County","Chardonnay"
"1997 Iron Horse T Bar T Benchmark",""
"2002 Iron Horse T Bar T Benchmark",""
"2002 Iron Horse Corral Vineyard Chardonnay","Chardonnay"
"2005 Iron Horse Vineyards Chardonnay Unoaked","Chardonnay"
"1999 Iron Horse Estate Pinot Noir","Pinot Noir"
"1992 Iron Horse Late Disgorged Brut",""
"2005 Iron Horse Cuvee R Sauvignon Blanc/Viognier","Sauvignon Blanc|Viognier"
"1995 Iron Horse Vrais Amis",""
"2001 Iron Horse Blanc de Blancs","Chardonnay"
"2001 Iron Horse Vineyards Classic Vintage Brut",""
"2001 Iron Horse Vineyards Pinot Noir Thomas Road","Pinot Noir"
"2000 Iron Horse Estate Chardonnay","Chardonnay"
"2003 Iron Horse Brut Rose",""
"2001 Iron Horse T bar T Cabernet Sauvignon","Cabernet Sauvignon"
"2002 Iron Horse T bar T Merlot","Merlot"
"2002 Iron Horse T bar T Cabernet Sauvignon","Cabernet Sauvignon"
"1998 Iron Horse Vineyards Blanc de Blancs Sonoma County","Chardonnay"
"2002 Iron Horse T-bar-T Cabernet Franc","Cabernet Franc"
"1999 Kenwood Jack London Vineyard Merlot","Merlot"
"1996 Kenwood Sauvignon Blanc Reserve","Sauvignon Blanc"
"1996 Domaine Rene et Vincent Dauvissat Chablis La Forest","Chardonnay"
"2003 Domaine Dauvissat Camus Chablis Forest","Chardonnay"
"2005 Domaine Vincent Dauvissat Chablis La Forest","Chardonnay"
"1997 Domaine Rene et Vincent Dauvissat Chablis La Forest","Chardonnay"
"1995 Domaine Rene et Vincent Dauvissat Chablis La Forest","Chardonnay"
"1998 Domaine Rene et Vincent Dauvissat Chablis La Forest","Chardonnay"
"2006 Domaine Rene et Vincent Dauvissat Chablis La Forest","Chardonnay"
"Forest Glen Chardonnay","Chardonnay"
"Forest Glen White Merlot","Merlot"
"Forest Ville Merlot","Merlot"
"NV Old Forester Kentucky Straight Bourbon Whisky Proof",""
"Old Forester Birthday Bourbon",""
"2001 Bassermann-Jordan Riesling Spätlese Pfalz Forster Jesuitengarten","Riesling"
"2002 Bassermann-Jordan Riesling Spätlese Pfalz Forster Jesuitengarten","Riesling"
"2004 Ken Forrester Sauvignon Blanc","Sauvignon Blanc"
"1999 Von Buhl Forster Bishofsgarten Spatlese",""
"2000 Ken Forrester Grenache/Syrah","Grenache|Shiraz"
"1997 Bassermann-Jordan Riesling Spätlese Pfalz Forster Jesuitengarten","Riesling"
"2004 Domaine/Maison Louis Jadot Chassagne Montrachet Morgeot Clos de la Chapelle Domaine du Duc de Magenta",""
"2004 Domaine/Maison Louis Jadot Meursault Genevrieres",""
"2003 Domaine/Maison Louis Jadot Beaune Les Boucherottes",""
"2003 Domaine/Maison Louis Jadot Clos Vougeot",""
"2003 Domaine/Maison Louis Jadot Gevrey Chambertin Clos Saint Jacques",""
"2003 Louis Jadot Pernand-Vergelesses Clos de la Croix de Pierre",""
"2003 Domaine/Maison Louis Jadot Volnay Clos des Chenes",""
"2002 Jadot Louis Montrachet",""
"1997 Bonnes Mares Louis Jadot",""
"2005 Clos Vougeot Louis Jadot",""
"1995 Jadot Louis Musigny",""
"2004 Chevalier Montrachet les Demoiselles Louis Jadot",""
"1997 Chapelle Chambertin Louis Jadot",""
"2003 Louis Jadot Corton-Pougets",""
"2003 Louis Jadot Clos Vougeot",""
"2005 Louis Jadot Clos Vougeot",""
"2003 Maison Louis Jadot Morgon Cote du Py Château des Lumieres",""
"2001 Scopone Brunello di Montalcino","sangiovese"
"2001 Fattoria dei Barbi Brunello di Montalcino","sangiovese"
"2001 Mastrojanni Brunello di Montalcino","sangiovese"
"2001 Pieve Santa Restituta(Gaja) Brunello di Montalcino Sugarille (in double magnum)","sangiovese"
"2001 Valdicava Brunello Valdicava Brunello Sangiovese Italy Italy","Sangiovese"
"2001 Silvio Nardi Manachiara",""
"2002 Capanna Brunello di Montalcino","sangiovese"
"1999 Poggio di Sotto Brunello di Montalcino","sangiovese"
"2003 Ciacci Piccolomini d'Aragona Brunello di Montalcino Vigna di Pianrosso","sangiovese"
"2001 Brunello di Montalcino Riserva Fuligni","sangiovese"
"2001 Gaja Sugarille Brunello di Montalcino","sangiovese"
"1997 Altesino Montosoli Brunello di Montalcino","sangiovese"
"2001 Casanova di Neri Brunello Di Montalcino Tenuta Nuova","sangiovese"
"1997 Casanova di Neri Brunello di Montalcino Tenuta Nuova (From Private Cellar)","sangiovese"
"1997 Antinori Pian Delle Vigne Brunello Di Montalcino","sangiovese"
"2000 Casanova di Neri Brunello di Montalcino Tenuta Nuova (From Private Cellar)","sangiovese"
"1999 Castello Banfi Brunello di Montalcino Poggio all'Oro Riserva","castelao|sangiovese"
"1997 Castello Banfi Brunello di Montalcino Poggio all'Oro Riserva","castelao|sangiovese"
"1999 La Poderina Brunello di Montalcino","sangiovese"
"1999 Fuligni Brunello di Montalcino","sangiovese"
"2007 Wyatt Pinot Noir","Pinot Noir"
"2006 Wyatt Cabernet Sauvignon","Cabernet Sauvignon"
"2007 Wyatt Chardonnay California","Chardonnay"
"2002 Wyatt Pinot Noir","Pinot Noir"
"2003 Wyatt Chardonnay California","Chardonnay"
"2002 Wyatt Cabernet Sauvignon","Cabernet Sauvignon"
"2001 Wyatt Pinot Noir","Pinot Noir"
"2002 Wyatt Chardonnay California","Chardonnay"
"2000 Wyatt Cabernet Sauvignon","Cabernet Sauvignon"
"2000 Wyatt Chardonnay California","Chardonnay"
"1998 Hyatt Chardonnay","Chardonnay"
"1997 Hyatt Merlot Reserve","Merlot"
"1997 Hyatt Cabernet Sauvignon Reserve","Cabernet Sauvignon"
"2004 Hyatt Merlot","Merlot"
"1999 Hyatt Syrah","Shiraz"
"1997 Hyatt Merlot","Merlot"
"1998 Hyatt Cabernet Sauvignon Reserve","Cabernet Sauvignon"
"1998 Hyatt Three Rock's Red Meritage",""
"1999 Hyatt Riesling","Riesling"
"1998 Hyatt Fume Blanc","Sauvignon Blanc"
"1999 Hyatt Cabernet-Merlot","Cabernet Sauvignon|Merlot"
"2002 Hyatt Merlot","Merlot"
"2000 Hyatt Cabernet-Merlot","Cabernet Sauvignon|Merlot"
"1999 Hyatt Fume Blanc","Sauvignon Blanc"
"1996 Hyatt Merlot","Merlot"
"2004 TwoTone Farm Cabernet Sauvignon Napa Valley","Cabernet Sauvignon"
